"stop_id","stop_name","stop_lat","stop_lon"
"bandung_lapangan_gasibu_b","Lapangan Gasibu B (Taman Lansia)",-6.9013276,107.6201481
"bandung_panatayuda_b","Panatayuda B",-6.8979463,107.6161299
"bandung_pasar_bunga_wastu_kencana","Pasar Bunga Wastu Kencana",-6.9048943,107.607265
"bandung_cicendo","Cicendo",-6.9075468,107.6044529
"bandung_pintu_barat_stasiun_bandung","Pintu Barat Stasiun Bandung",-6.9126273,107.6029304
"bandung_abdul_rivai","Abdul Rivai",-6.904267,107.6029269
"bandung_terminal_st_hall","Terminal St. Hall",-6.9161512,107.6024182
"bandung_dr_otten","Dr. Otten",-6.9021781,107.5996034
"bandung_rs_hasan_sadikin","Rs. Hasan Sadikin",-6.8961604,107.5993726
"bandung_gki_kebon_jati","Gki Kebon Jati",-6.9162362,107.5987167
"bandung_btc","Btc",-6.894195,107.5853487
"bandung_pasteur_2","Pasteur 2",-6.8922747,107.5819472
"bandung_borma_dakota","Borma Dakota",-6.8935801,107.5726332
"bandung_gunung_batu_mentor","Gunung Batu Mentor",-6.8873601,107.5673186
"bandung_gunung_batu","Gunung Batu",-6.889252,107.5666744
"bandung_sukaraja_ii","Sukaraja II",-6.8914409,107.5785023
"bandung_sdn_sukaraja","Sdn Sukaraja",-6.89152,107.57858
"bandung_pasteur_1","Pasteur 1",-6.8924854,107.5847523
"bandung_djunjunan_giant","Djunjunan (Giant)",-6.89485,107.58848
"bandung_cipedes_selatan","Cipedes Selatan",-6.8961874,107.5904046
"bandung_seberang_tpu_pandu","Seberang Tpu Pandu",-6.8984447,107.5937497
"bandung_grandia_hotel","Grandia Hotel",-6.901021,107.604614
"bandung_stdi_bandung","Stdi Bandung",-6.903944,107.604651
"bandung_simpang_pajajaran_cicendo","Simpang Pajajaran Cicendo",-6.90722,107.60521
"bandung_rs_mata_cicendo","Rs Mata Cicendo",-6.91035,107.60441
"bandung_seberang_ampera_kebon_kawung","Seberang Ampera Kebon Kawung",-6.912557,107.600735
"bandung_masjid_agung_al_ukkhuwah","Masjid Agung Al Ukkhuwah",-6.910825,107.608772
"bandung_jalan_wastukancana_45","Jalan Wastukancana, 45",-6.908848,107.607805
"bandung_taman_westhoff","Taman Westhoff",-6.900805,107.598397
"bandung_djunjunan_paskal","Djunjunan Paskal",-6.90043,107.59677
"bandung_tpu_pandu","Tpu Pandu",-6.90133,107.59312
"bandung_cipedes_hilir","Cipedes Hilir",-6.8964877,107.5905255
"bandung_griya_pasteur","Griya Pasteur",-6.895226,107.58835
"bandung_underpass_cibogo","Underpass Cibogo",-6.8911346,107.5789443
"bandung_babakan_ciparay","Babakan Ciparay",-6.93812,107.6152925
"bandung_mall_summarecon_bandung","Mall Summarecon Bandung",-6.9555667,107.6991477
"bandung_stasiun_gedebage","Stasiun Gedebage",-6.9331774,107.6989816
"bandung_halte_rs_al_islam","Halte Rs Al Islam",-6.9387514,107.669306
"bandung_kawaluyaan","Kawaluyaan",-6.9389469,107.6635231
"bandung_halte_metro","Halte Metro",-6.9403106,107.6583047
"bandung_halte_soekarno_hatta_4","Halte Soekarno Hatta 4",-6.9437949,107.6464771
"bandung_halte_griya","Halte Griya",-6.9221607,107.6444764
"bandung_halte_soekarno_hatta_leuwi_panjang","Halte Soekarno Hatta Leuwi Panjang",-6.9482293,107.6329776
"bandung_seberang_ampera_soekarno_hatta","Seberang Ampera Soekarno Hatta",-6.9482293,107.6329776
"bandung_jalan_soekarno_hatta","Jalan Soekarno Hatta",-6.9482293,107.6329776
"bandung_dinas_koperasi_dan_usaha_kecil","Dinas Koperasi Dan Usaha Kecil",-6.9482293,107.6329776
"bandung_ampera_soekarno_hatta","Ampera Soekarno Hatta",-6.9482293,107.6329776
"bandung_convention_center","Bandung Convention Center",-6.9143539,107.6328349
"bandung_suka_ati","Suka Ati",-6.9491645,107.6215656
"bandung_pasirluyu_selatan","Pasirluyu Selatan",-6.9491645,107.6215656
"bandung_sai","Sai",-6.883455,107.614544
"bandung_simpang_cibaduyut","Simpang Cibaduyut",-6.9089104,107.6365714
"bandung_astra_biz_center","Astra Biz Center",-6.9060304,107.5858421
"bandung_pasar_caringin","Pasar Caringin",-6.9430135,107.5844282
"bandung_halte_soekarno_hatta_3","Halte Soekarno Hatta 3 (Pasar Induk)",-6.9430135,107.5844282
"bandung_terusan_suryani","Terusan Suryani",-6.9206062,107.580869
"bandung_elang","Elang",-6.9139632,107.5755676
"bandung_plaza_telkom_rajawali","Plaza Telkom Rajawali",-6.9129112,107.575404
"bandung_ypp_teknik_holis","Ypp Teknik (Holis)",-6.9279358,107.5740641
"bandung_pertigaan_jalan_holis","Pertigaan Jalan Holis",-6.9279358,107.5740641
